text,intent,target_category,safe_response_template,requires_medical_disclaimer
Do you have Comfort Relief Tablets?,product_search,OTC Medicine,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like MediWell Everyday Cold Care Capsules,product_search,OTC Medicine,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Gentle Throat Lozenges?,product_search,OTC Medicine,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like HealthNest Cooling Vapor Rub,product_search,OTC Medicine,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Saline Nasal Spray?,product_search,OTC Medicine,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like TempEase Digital Fever Strips,product_search,OTC Medicine,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Non-Drowsy Allergy Tablets?,product_search,OTC Medicine,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like KidCare Children Comfort Syrup,product_search,OTC Medicine,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Heat Therapy Patches?,product_search,OTC Medicine,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like HydraDay Electrolyte Sachets,product_search,OTC Medicine,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Daily Probiotic Capsules?,product_search,Digestive Health,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like NutriFiber Fiber Blend Powder,product_search,Digestive Health,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Oral Rehydration Salts?,product_search,Digestive Health,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like DigestEase Digestive Enzyme Tablets,product_search,Digestive Health,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Peppermint Comfort Tea?,product_search,Digestive Health,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like NatureBite Ginger Chew Packs,product_search,Digestive Health,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Prebiotic Fiber Gummies?,product_search,Digestive Health,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like HydraDay Hydration Ready Drink,product_search,Digestive Health,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Sensitive Stomach Tea?,product_search,Digestive Health,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like PharmaCare Digestive Wellness Kit,product_search,Digestive Health,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Do you have Vitamin C Chewables?,product_search,Vitamins & Minerals,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
Show me products like VitaCore Daily Multivitamin Tablets,product_search,Vitamins & Minerals,You can browse matching product results in the catalog. This is general product information and does not replace advice from a doctor or pharmacist.,true
