id,name,slug,category,brand,description,price,stock,image_url,is_active
1,Comfort Relief Tablets,comfort-relief-tablets,OTC Medicine,PharmaCare,Non-prescription tablets for label-directed general self-care.,6.99,120,https://example.com/images/products/comfort-relief-tablets.jpg,true
2,Everyday Cold Care Capsules,everyday-cold-care-capsules,OTC Medicine,MediWell,OTC capsules for seasonal wellness browsing.,8.49,90,https://example.com/images/products/everyday-cold-care-capsules.jpg,true
3,Gentle Throat Lozenges,gentle-throat-lozenges,OTC Medicine,CarePlus,Lozenges for general throat comfort.,4.25,150,https://example.com/images/products/gentle-throat-lozenges.jpg,true
4,Cooling Vapor Rub,cooling-vapor-rub,OTC Medicine,HealthNest,Topical rub for comfort-focused home care.,5.75,80,https://example.com/images/products/cooling-vapor-rub.jpg,true
5,Saline Nasal Spray,saline-nasal-spray,OTC Medicine,ClearAir,Drug-free saline spray for nasal moisture.,7.10,110,https://example.com/images/products/saline-nasal-spray.jpg,true
6,Digital Fever Strips,digital-fever-strips,OTC Medicine,TempEase,Single-use temperature strips for basic home checks.,3.95,75,https://example.com/images/products/digital-fever-strips.jpg,true
7,Non-Drowsy Allergy Tablets,non-drowsy-allergy-tablets,OTC Medicine,AllerEase,OTC allergy support for label-directed use.,9.80,70,https://example.com/images/products/non-drowsy-allergy-tablets.jpg,true
8,Children Comfort Syrup,children-comfort-syrup,OTC Medicine,KidCare,Pediatric comfort product for caregiver-managed routines.,7.65,65,https://example.com/images/products/children-comfort-syrup.jpg,true
9,Heat Therapy Patches,heat-therapy-patches,OTC Medicine,FlexiCare,Warming patches for comfort and relaxation.,6.40,95,https://example.com/images/products/heat-therapy-patches.jpg,true
10,Electrolyte Sachets,electrolyte-sachets,OTC Medicine,HydraDay,Powder sachets for hydration support.,5.90,130,https://example.com/images/products/electrolyte-sachets.jpg,true
11,Daily Probiotic Capsules,daily-probiotic-capsules,Digestive Health,GutBalance,Probiotic supplement for digestive wellness routines.,14.99,85,https://example.com/images/products/daily-probiotic-capsules.jpg,true
12,Fiber Blend Powder,fiber-blend-powder,Digestive Health,NutriFiber,Mixable fiber powder for everyday nutrition support.,12.50,70,https://example.com/images/products/fiber-blend-powder.jpg,true
13,Oral Rehydration Salts,oral-rehydration-salts,Digestive Health,HydraCare,Electrolyte sachets for hydration support.,4.80,140,https://example.com/images/products/oral-rehydration-salts.jpg,true
14,Digestive Enzyme Tablets,digestive-enzyme-tablets,Digestive Health,DigestEase,Supplement tablets for general digestive support.,11.25,80,https://example.com/images/products/digestive-enzyme-tablets.jpg,true
15,Peppermint Comfort Tea,peppermint-comfort-tea,Digestive Health,HerbalWell,Herbal tea for a gentle after-meal routine.,6.75,95,https://example.com/images/products/peppermint-comfort-tea.jpg,true
16,Ginger Chew Packs,ginger-chew-packs,Digestive Health,NatureBite,Ginger-flavored chews for travel and daily comfort.,5.30,100,https://example.com/images/products/ginger-chew-packs.jpg,true
17,Prebiotic Fiber Gummies,prebiotic-fiber-gummies,Digestive Health,GutBalance,Prebiotic gummies for general wellness routines.,10.40,90,https://example.com/images/products/prebiotic-fiber-gummies.jpg,true
18,Hydration Ready Drink,hydration-ready-drink,Digestive Health,HydraDay,Ready-to-drink electrolyte beverage.,3.60,160,https://example.com/images/products/hydration-ready-drink.jpg,true
19,Sensitive Stomach Tea,sensitive-stomach-tea,Digestive Health,HerbalWell,Caffeine-free tea blend for gentle daily use.,7.20,75,https://example.com/images/products/sensitive-stomach-tea.jpg,true
20,Digestive Wellness Kit,digestive-wellness-kit,Digestive Health,PharmaCare,Bundle of general digestive health products.,18.95,45,https://example.com/images/products/digestive-wellness-kit.jpg,true
21,Vitamin C Chewables,vitamin-c-chewables,Vitamins & Minerals,VitaCore,Chewable vitamin C supplement for general wellness.,8.99,120,https://example.com/images/products/vitamin-c-chewables.jpg,true
22,Daily Multivitamin Tablets,daily-multivitamin-tablets,Vitamins & Minerals,VitaCore,Multivitamin product for adult daily routines.,13.75,100,https://example.com/images/products/daily-multivitamin-tablets.jpg,true
23,Vitamin D3 Softgels,vitamin-d3-softgels,Vitamins & Minerals,SunWell,Vitamin D supplement for general wellness support.,10.95,90,https://example.com/images/products/vitamin-d3-softgels.jpg,true
24,Calcium Plus Tablets,calcium-plus-tablets,Vitamins & Minerals,BoneCare,Calcium supplement for label-directed use.,12.20,85,https://example.com/images/products/calcium-plus-tablets.jpg,true
25,Magnesium Capsules,magnesium-capsules,Vitamins & Minerals,MineralPlus,Magnesium supplement for label-directed use.,11.80,75,https://example.com/images/products/magnesium-capsules.jpg,true
26,Iron Support Tablets,iron-support-tablets,Vitamins & Minerals,MineralPlus,Iron supplement for customers advised to use iron products.,9.70,65,https://example.com/images/products/iron-support-tablets.jpg,true
27,Zinc Wellness Lozenges,zinc-wellness-lozenges,Vitamins & Minerals,VitaCore,Zinc supplement lozenges for wellness routines.,6.50,115,https://example.com/images/products/zinc-wellness-lozenges.jpg,true
28,B-Complex Tablets,b-complex-tablets,Vitamins & Minerals,EnergyWell,B vitamin complex for supplement routines.,10.30,95,https://example.com/images/products/b-complex-tablets.jpg,true
