text,target_category,recommended_product_ids,recommended_product_names,safe_response_template
Recommend products from OTC Medicine,OTC Medicine,1|2|3|4,Comfort Relief Tablets|Everyday Cold Care Capsules|Gentle Throat Lozenges|Cooling Vapor Rub,"Based on your general need, you may want to browse OTC Medicine products. This is only general product guidance and is not medical advice."
What should I browse for otc medicine,OTC Medicine,1|2|3|4,Comfort Relief Tablets|Everyday Cold Care Capsules|Gentle Throat Lozenges|Cooling Vapor Rub,"Based on your general need, you may want to browse OTC Medicine products. This is only general product guidance and is not medical advice."
Show general pharmacy products for otc medicine,OTC Medicine,1|2|3|4,Comfort Relief Tablets|Everyday Cold Care Capsules|Gentle Throat Lozenges|Cooling Vapor Rub,"Based on your general need, you may want to browse OTC Medicine products. This is only general product guidance and is not medical advice."
I need safe non-prescription product ideas for otc medicine,OTC Medicine,1|2|3|4,Comfort Relief Tablets|Everyday Cold Care Capsules|Gentle Throat Lozenges|Cooling Vapor Rub,"Based on your general need, you may want to browse OTC Medicine products. This is only general product guidance and is not medical advice."
Which catalog items fit otc medicine needs,OTC Medicine,1|2|3|4,Comfort Relief Tablets|Everyday Cold Care Capsules|Gentle Throat Lozenges|Cooling Vapor Rub,"Based on your general need, you may want to browse OTC Medicine products. This is only general product guidance and is not medical advice."
Recommend products from Digestive Health,Digestive Health,11|12|13|14,Daily Probiotic Capsules|Fiber Blend Powder|Oral Rehydration Salts|Digestive Enzyme Tablets,"Based on your general need, you may want to browse Digestive Health products. This is only general product guidance and is not medical advice."
What should I browse for digestive health,Digestive Health,11|12|13|14,Daily Probiotic Capsules|Fiber Blend Powder|Oral Rehydration Salts|Digestive Enzyme Tablets,"Based on your general need, you may want to browse Digestive Health products. This is only general product guidance and is not medical advice."
Show general pharmacy products for digestive health,Digestive Health,11|12|13|14,Daily Probiotic Capsules|Fiber Blend Powder|Oral Rehydration Salts|Digestive Enzyme Tablets,"Based on your general need, you may want to browse Digestive Health products. This is only general product guidance and is not medical advice."
I need safe non-prescription product ideas for digestive health,Digestive Health,11|12|13|14,Daily Probiotic Capsules|Fiber Blend Powder|Oral Rehydration Salts|Digestive Enzyme Tablets,"Based on your general need, you may want to browse Digestive Health products. This is only general product guidance and is not medical advice."
Which catalog items fit digestive health needs,Digestive Health,11|12|13|14,Daily Probiotic Capsules|Fiber Blend Powder|Oral Rehydration Salts|Digestive Enzyme Tablets,"Based on your general need, you may want to browse Digestive Health products. This is only general product guidance and is not medical advice."
Recommend products from Vitamins & Minerals,Vitamins & Minerals,21|22|23|24,Vitamin C Chewables|Daily Multivitamin Tablets|Vitamin D3 Softgels|Calcium Plus Tablets,"Based on your general need, you may want to browse Vitamins & Minerals products. This is only general product guidance and is not medical advice."
What should I browse for vitamins & minerals,Vitamins & Minerals,21|22|23|24,Vitamin C Chewables|Daily Multivitamin Tablets|Vitamin D3 Softgels|Calcium Plus Tablets,"Based on your general need, you may want to browse Vitamins & Minerals products. This is only general product guidance and is not medical advice."
Show general pharmacy products for vitamins & minerals,Vitamins & Minerals,21|22|23|24,Vitamin C Chewables|Daily Multivitamin Tablets|Vitamin D3 Softgels|Calcium Plus Tablets,"Based on your general need, you may want to browse Vitamins & Minerals products. This is only general product guidance and is not medical advice."
I need safe non-prescription product ideas for vitamins & minerals,Vitamins & Minerals,21|22|23|24,Vitamin C Chewables|Daily Multivitamin Tablets|Vitamin D3 Softgels|Calcium Plus Tablets,"Based on your general need, you may want to browse Vitamins & Minerals products. This is only general product guidance and is not medical advice."
Which catalog items fit vitamins & minerals needs,Vitamins & Minerals,21|22|23|24,Vitamin C Chewables|Daily Multivitamin Tablets|Vitamin D3 Softgels|Calcium Plus Tablets,"Based on your general need, you may want to browse Vitamins & Minerals products. This is only general product guidance and is not medical advice."
Recommend products from Mother & Baby,Mother & Baby,31|32|33|34,Baby Gentle Wash|Baby Moisture Lotion|Diaper Rash Cream|Infant Nasal Aspirator,"Based on your general need, you may want to browse Mother & Baby products. This is only general product guidance and is not medical advice."
What should I browse for mother & baby,Mother & Baby,31|32|33|34,Baby Gentle Wash|Baby Moisture Lotion|Diaper Rash Cream|Infant Nasal Aspirator,"Based on your general need, you may want to browse Mother & Baby products. This is only general product guidance and is not medical advice."
Show general pharmacy products for mother & baby,Mother & Baby,31|32|33|34,Baby Gentle Wash|Baby Moisture Lotion|Diaper Rash Cream|Infant Nasal Aspirator,"Based on your general need, you may want to browse Mother & Baby products. This is only general product guidance and is not medical advice."
I need safe non-prescription product ideas for mother & baby,Mother & Baby,31|32|33|34,Baby Gentle Wash|Baby Moisture Lotion|Diaper Rash Cream|Infant Nasal Aspirator,"Based on your general need, you may want to browse Mother & Baby products. This is only general product guidance and is not medical advice."
Which catalog items fit mother & baby needs,Mother & Baby,31|32|33|34,Baby Gentle Wash|Baby Moisture Lotion|Diaper Rash Cream|Infant Nasal Aspirator,"Based on your general need, you may want to browse Mother & Baby products. This is only general product guidance and is not medical advice."
Recommend products from Personal Care,Personal Care,41|42|43|44,Antibacterial Hand Gel|Gentle Hand Wash|Cotton Buds Pack|Body Cleansing Wipes,"Based on your general need, you may want to browse Personal Care products. This is only general product guidance and is not medical advice."
What should I browse for personal care,Personal Care,41|42|43|44,Antibacterial Hand Gel|Gentle Hand Wash|Cotton Buds Pack|Body Cleansing Wipes,"Based on your general need, you may want to browse Personal Care products. This is only general product guidance and is not medical advice."
Show general pharmacy products for personal care,Personal Care,41|42|43|44,Antibacterial Hand Gel|Gentle Hand Wash|Cotton Buds Pack|Body Cleansing Wipes,"Based on your general need, you may want to browse Personal Care products. This is only general product guidance and is not medical advice."
I need safe non-prescription product ideas for personal care,Personal Care,41|42|43|44,Antibacterial Hand Gel|Gentle Hand Wash|Cotton Buds Pack|Body Cleansing Wipes,"Based on your general need, you may want to browse Personal Care products. This is only general product guidance and is not medical advice."
Which catalog items fit personal care needs,Personal Care,41|42|43|44,Antibacterial Hand Gel|Gentle Hand Wash|Cotton Buds Pack|Body Cleansing Wipes,"Based on your general need, you may want to browse Personal Care products. This is only general product guidance and is not medical advice."
Recommend products from Medical Devices,Medical Devices,51|52|53|54,Digital Blood Pressure Monitor|Pulse Oximeter|Digital Thermometer|Reusable Hot Cold Pack,"Based on your general need, you may want to browse Medical Devices products. This is only general product guidance and is not medical advice."
What should I browse for medical devices,Medical Devices,51|52|53|54,Digital Blood Pressure Monitor|Pulse Oximeter|Digital Thermometer|Reusable Hot Cold Pack,"Based on your general need, you may want to browse Medical Devices products. This is only general product guidance and is not medical advice."
Show general pharmacy products for medical devices,Medical Devices,51|52|53|54,Digital Blood Pressure Monitor|Pulse Oximeter|Digital Thermometer|Reusable Hot Cold Pack,"Based on your general need, you may want to browse Medical Devices products. This is only general product guidance and is not medical advice."
I need safe non-prescription product ideas for medical devices,Medical Devices,51|52|53|54,Digital Blood Pressure Monitor|Pulse Oximeter|Digital Thermometer|Reusable Hot Cold Pack,"Based on your general need, you may want to browse Medical Devices products. This is only general product guidance and is not medical advice."
